Source,Target,flow,value
1,2,u,0.0569702235816008
1,12,u,0.0740159797781885
1,28,u,0.0172500483507252
-1,1,u,0.148236251710514
2,3,u,0.0217918760574682
2,11,u,0.0246841113066685
2,48,u,0.00311839847829383
2,49,u,0.00338613522363898
2,50,u,0.00180320244873546
2,52,u,0.00218650006679595
3,4,u,0.00759635209837994
3,11,u,0.00289223524920024
3,49,u,0.00120694761789215
3,51,u,0.00110671749411351
3,78,u,0.00487407091359158
3,79,u,0.00411555268429069
11,4,u,0.00470411684917971
4,51,u,0.000347082284275535
4,53,u,0.000640147508036559
4,54,u,0.00288743289967255
4,79,u,0.00335591747445267
4,80,u,0.0050698887811222
5,6,u,0.020327788559363
11,5,u,0.0218912962903421
53,5,u,0.00107857043607966
5,54,u,0.00116871495555633
55,5,u,0.000631685868899323
5,56,u,0.000710653704778208
5,57,u,0.00139439537562396
6,7,u,0.0136940583129175
54,6,u,0.000864063900379986
57,6,u,0.000638383480312355
6,58,u,0.000363891219006574
6,59,u,0.00268047899123633
6,80,u,0.00131839198106967
6,81,u,0.00377341543582612
7,8,u,0.0129739653477825
58,7,u,0.00100551461228515
7,59,u,0.00131107315994456
60,7,u,0.000965894794769451
7,61,u,0.000393522396412793
7,62,u,0.000986906815832311
8,9,u,0.0054511201528149
8,10,u,0.00873720905227915
61,8,u,0.000903874138365435
62,8,u,0.000310489718945961
59,9,u,0.000531435390115176
62,9,u,0.000855601734227429
9,63,u,0.00292776112421618
9,82,u,0.00391039615294178
10,63,u,0.00259915223426974
10,65,u,0.00250122201930454
10,66,u,0.0036368347987052
50,11,u,0.000665208681931384
11,51,u,0.000817493969193528
52,11,u,0.000281911063870899
11,53,u,0.00111055919295451
12,13,u,0.0539615961259801
12,47,u,0.00537821984453308
12,48,u,0.00141382285863507
12,76,u,0.00800404361198814
12,77,u,0.00525829733705256
13,14,u,0.0463384923921245
13,44,u,0.002885264070837
13,45,u,0.00287227497448947
13,46,u,0.00188350445659373
47,13,u,1.79397680649007e-05
14,15,u,0.0346720910264744
14,41,u,0.0035060245030754
14,42,u,0.00254658120861522
14,43,u,0.000968425306362297
44,14,u,0.00174858516837548
45,14,u,0.00176157426472297
14,74,u,0.00536977230875348
14,75,u,0.00278575747194312
15,16,u,0.0305668476057497
15,39,u,0.00308449270822342
15,41,u,3.88154004279606e-05
42,15,u,0.000920627894032222
15,74,u,0.00190256320610604
16,17,u,0.0174371464336439
16,18,u,0.0172748144156093
16,38,u,0.000614277519111894
16,39,u,2.78079476484283e-05
40,16,u,0.00176932935011704
41,16,u,0.00301786936014703
18,17,u,0.000162332018034617
17,20,u,0.0173103944298758
17,36,u,0.000481654116226649
17,37,u,0.000936867029828869
38,17,u,0.00112943712425246
18,19,u,0.0125239692588077
18,37,u,0.000953100231632309
39,18,u,0.00169967349391249
18,72,u,0.00332371695187872
18,73,u,0.00201136944916804
19,20,u,0.0049487571891027
19,35,u,0.00164434104988147
37,19,u,0.000299296694248463
19,71,u,0.004158847688075
19,72,u,0.0020713200259979
20,22,u,0.0199938522136007
20,33,u,0.00168992822940304
20,34,u,0.00146946358492359
20,35,u,0.00114946533097116
36,20,u,0.00124938532676095
37,20,u,0.000794172413158734
22,21,u,0.00715378676181411
21,23,u,0.00553639828157748
33,21,u,0.00102483566813842
35,21,u,0.00156529856657031
21,70,u,0.00325831464332267
21,71,u,0.000949208071623264
22,23,u,0.0126901850433916
22,32,u,0.000989259036788903
33,22,u,0.000309456991957058
34,22,u,0.000529921636436459
23,24,u,0.00994722491515465
23,31,u,0.00168660242492491
32,23,u,0.000279759467550234
23,69,u,0.00416784063727542
23,70,u,0.0027046748151649
24,25,u,0.00301197401000208
24,27,u,0.00663037335562922
24,30,u,0.000887479575179873
24,31,u,0.000691879933409423
32,24,u,0.00127448195906572
25,26,u,0.00242569183582253
25,30,u,0.000586282174179686
26,27,u,0.0011927075098046
26,29,u,0.000889271335420538
26,30,u,0.000343712990597433
27,29,u,0.000770000584440034
27,30,u,0.000224442239616973
27,31,u,2.88425978465234e-05
27,67,u,0.00383151853770753
27,68,u,0.00296827690582266
47,28,u,0.00905552490099206
47,28,j,0.0123341848680123
28,0,u,0.0263055732517172
28,0,j,0.0123342522172751
30,29,u,0.00035140341019891
29,30,j,1.85269437618045e-05
29,67,u,0.00201067533005935
67,29,j,1.85269399637111e-05
31,30,u,0.000112900304587095
30,31,j,3.39770512008527e-05
30,68,u,0.00180341387396238
68,30,j,1.5450479182873e-05
32,31,u,0.00124118502385676
31,32,j,0.000122249242309961
31,68,u,0.00191631417854947
68,31,j,4.95098843668637e-05
31,69,u,0.00161929549690149
69,31,j,3.87594463549178e-05
33,32,u,0.000830095409444405
32,33,j,6.11273645624185e-05
34,32,u,0.000976072004239245
32,34,j,6.11150666414433e-05
34,33,u,0.00014597659479484
35,33,u,0.000328483245341488
33,35,j,6.11392965150417e-05
35,34,u,0.000182506650546647
34,35,j,6.1126579189747e-05
37,35,u,0.0011677418839095
35,37,j,0.000250272727499393
35,71,u,0.00159935234795297
71,35,j,0.000134575695049353
35,72,u,0.000285907454351361
35,72,j,6.51786383138757e-06
36,37,u,0.000166606704167764
37,36,j,0.000280878958160069
38,36,u,0.000934337914702087
36,38,j,0.000280869031282233
39,37,u,0.0016582863639481
