Source,Target,flow,value
1,15,u,0.123950601733632
1,25,u,0.0188360688613429
-1,1,u,0.142786670594975
2,3,u,2.15885147969441e-05
4,2,u,0.000530849626993568
26,2,u,1.91320016126539e-05
27,2,u,4.7792394257673e-05
2,28,u,0.000576185508067306
4,3,u,0.000552438141790512
3,28,u,0.000574026656587634
5,4,u,0.00258058457875077
6,4,u,0.00544483321016753
4,27,u,5.29256844172821e-06
4,28,u,0.000629270470766707
31,4,u,0.000209700857106609
4,52,u,0.00392505002161205
4,53,u,0.0025922178164183
12,5,u,0.00283395442986412
5,27,u,0.000263351026316805
29,5,u,5.83387759717002e-05
5,31,u,4.83576007684672e-05
6,12,u,3.02942015526497e-05
13,6,u,0.0101987168512683
6,31,u,0.000334782463910122
33,6,u,0.000978401463126399
6,53,u,0.00313670113743503
6,54,u,0.00223050730132983
7,8,u,0.00221724888012631
9,7,u,0.00348115124060988
7,48,u,0.000478747090989584
50,7,u,0.000236004544310919
7,51,u,0.00102115981380524
9,8,u,0.00569840012073619
8,48,u,0.00025702220297692
8,51,u,0.000799434925792619
8,67,u,0.00277828483088896
8,68,u,0.00408090704120441
10,9,u,0.00535625051252664
11,9,u,0.011713510570462
9,45,u,0.000183634573239511
9,48,u,0.00082686221505055
9,50,u,0.000112110579750091
9,66,u,0.00341947751063771
9,67,u,0.00334812484296254
11,10,u,0.00635726005793535
10,45,u,0.00071925962449213
47,10,u,0.000365985710085992
10,50,u,0.000647735631002755
14,11,u,0.0192250660685547
11,45,u,0.00135498563028569
46,11,u,0.00217949198915579
11,47,u,0.000269740295707521
49,11,u,0.000958887105158679
11,65,u,0.00266794860847908
30,12,u,0.000290685541430946
12,31,u,0.000331753043754857
32,12,u,0.00186329684735353
33,12,u,0.000981430883281664
24,13,u,0.01613729131276
13,33,u,4.1470222000406e-05
13,54,u,0.00325037898645668
13,55,u,0.00264672525303462
15,14,u,0.0359498892608889
14,16,u,0.00776709422717126
44,14,u,0.000130660973695562
46,14,u,0.000256985382300323
14,49,u,0.000963619501696789
14,64,u,0.00379130060412822
14,65,u,0.00459045521533454
15,17,u,0.0366569543244999
15,23,u,0.0412505194064512
15,43,u,0.0032909072456095
15,44,u,0.00346432795239329
15,46,u,0.00333800354378861
17,16,u,0.0070600291635603
16,18,u,0.00773614373747011
16,41,u,0.00143096144013839
43,16,u,0.00108079110319652
44,16,u,0.000907370396412688
16,63,u,0.0046335885313221
16,64,u,0.0030145911814111
17,18,u,0.0147961729010304
17,21,u,0.0111707454535462
17,37,u,0.000594412916874232
17,40,u,0.001273417719834
17,41,u,0.00213696435649444
43,17,u,0.000374788186840469
18,19,u,0.00729726264964758
21,18,u,0.00362542744748418
18,38,u,0.000781120923486212
18,39,u,0.00202031193472081
40,18,u,0.000206199570268994
18,41,u,0.000657347066391401
18,60,u,0.00519145758048758
18,61,u,0.00575766252927727
18,62,u,0.00465878097224075
20,19,u,0.00153536845713342
19,38,u,5.1394658521442e-05
19,39,u,0.00129058566975604
19,58,u,0.00315889350674694
19,59,u,0.00433175727175716
21,20,u,0.00938732163999834
20,24,u,0.000318382366402581
20,35,u,0.000116871915402195
20,38,u,0.000204931504234773
20,57,u,0.00389933704436571
20,58,u,0.00331243035246032
21,22,u,0.00276605944689579
23,21,u,0.00657718037159494
21,35,u,0.00105560407940204
21,36,u,0.000136167997125103
37,21,u,0.000522661628480403
21,38,u,0.00114366366823462
21,40,u,0.000156343174479412
23,22,u,0.00934323981849072
22,24,u,0.00693964455950513
22,34,u,0.000754144724485206
22,35,u,0.000778998134712472
36,22,u,0.000140437947564465
22,56,u,0.00377694979424792
23,24,u,0.0162828843779959
23,32,u,0.00240162182700416
23,33,u,0.00328348779107603
23,34,u,0.00168846870633428
23,36,u,0.000793886034284608
23,37,u,0.000135056408679102
23,42,u,0.000744694070989338
24,34,u,6.01802685346708e-05
24,55,u,0.0042604543843106
24,56,u,0.00308298533829738
42,25,u,0.00690780836264001
42,25,j,0.0118761111969743
25,0,u,0.0257438772239829
25,0,j,0.011876115426463
27,26,u,1.91320016125724e-05
27,28,u,0.000178371770593992
28,27,j,0.000490816662081946
27,29,u,2.33474282942845e-05
27,29,j,0.000490823903936381
28,52,u,0.00195785440601588
52,28,j,0.000490824379477465
29,30,u,1.93871227020603e-05
29,30,j,0.000749681270431564
31,29,u,5.43784703794131e-05
31,29,j,0.000258888485422868
31,30,u,7.37655930814735e-05
31,30,j,0.00100851996715854
32,30,u,0.000197532825647407
30,32,j,0.00175814876786224
33,31,u,0.00087038248429688
31,33,j,1.41111631207559e-05
31,53,u,0.00124743067216329
53,31,j,0.00128135523399817
33,32,u,0.000746615251730947
33,32,j,0.00274874923472775
32,42,u,0.00108740740573455
32,42,j,0.00450697746616349
34,33,u,0.00158989135230476
34,33,j,0.00107892594516151
33,54,u,0.00133801928294612
54,33,j,0.00165594077012915
35,34,u,0.000218146704164743
35,34,j,0.000483518962527705
36,34,u,0.000176755541034962
34,36,j,0.000867374973218361
34,56,u,0.00130780459224992
56,34,j,0.00146257187393683
35,36,u,4.13911631297808e-05
35,36,j,0.00135051147824966
38,35,u,0.000291877723237475
38,35,j,0.00072271445563197
35,57,u,0.00198381398546013
57,35,j,0.00111155796909915
36,37,u,0.00137987351735643
36,37,j,0.00373896160687236
40,36,u,0.000725621811416007
40,36,j,0.00152102824745107
37,42,u,0.00222079603344879
37,42,j,0.00370383261343407
43,37,u,0.000634114819018471
37,43,j,3.51200155409777e-05
38,39,u,0.000558439586459166
39,38,j,0.000553339260641292
40,38,u,0.000392352925048751
38,40,j,0.000550301999375443
38,58,u,0.00172314636982941
58,38,j,0.000719453662556498
39,59,u,0.00189610332075789
59,39,j,0.000267066439466714
39,60,u,0.00197323387017828
60,39,j,0.000286350709682837
40,41,u,0.000105586587579794
41,40,j,0.000970809024080143
41,62,u,0.00243649373617592
62,41,j,0.000474765886384529
41,63,u,0.00189436571442846
63,41,j,0.00049601716691492
43,42,u,0.00285491085246727
43,42,j,0.00366532811734193
44,43,u,0.00165369771591316
44,43,j,0.00363019759854272
46,44,u,0.000482831237777347
46,44,j,0.000818404646408275
44,64,u,0.00125543010414953
64,44,j,0.00281179767254905
47,45,u,0.000327181916715208
45,47,j,0.000818404239853373
50,45,u,0.00017960897792765
50,45,j,0.000272466515092559
45,65,u,0.00075279192291487
65,45,j,0.000251695789790234
45,66,u,0.00201187879974624
66,45,j,0.000294241304646061
46,49,u,0.00041869493455536
49,46,j,0.00081840373992152
49,47,u,0.000423427331093652
47,49,j,0.000818404037604136
50,48,u,0.000344232688514575
48,50,j,0.000272466764647572
48,51,u,0.000257659159794324
51,48,j,0.000213828566787349
48,67,u,0.0016492050377374
67,48,j,5.8638135341208e-05
51,68,u,0.00207825389939187
68,51,j,0.00021382866388468
53,52,u,0.000919826546531713
53,52,j,6.76987359990847e-05
52,69,u,0.00336109967645856
69,52,j,0.000423098462139452
52,-252,u,0.00344163129770109
54,53,u,0.000779793873514047
54,53,j,0.000364481002761642
53,70,u,0.00337469317222012
70,53,j,0.000984679367375774
53,-253,u,0.00346162378077883
55,54,u,0.000822322210713306
55,54,j,0.000868869730629776
54,71,u,0.00338621721961193
71,54,j,0.00115143624343095
54,-254,u,0.00347521668831997
56,55,u,0.000797783832287656
56,55,j,2.8229910508045e-05
55,72,u,0.00339836976459783
72,55,j,0.000840635958986188
55,-255,u,0.00348427149432174
56,57,u,0.000457862689045469
57,56,j,0.000133494818592314
56,73,u,0.00341015967344941
73,56,j,0.00135743483659853
56,-256,u,0.00350193353001269
58,57,u,0.000552545338868199
58,57,j,0.000334413615110653
57,74,u,0.00340339322976893
74,57,j,0.000910473155902977
57,-257,u,0.00349016582797058
58,59,u,0.000731396537387643
59,58,j,0.000101717794232642
58,75,u,0.00341155892443193
75,58,j,0.000952306741407352
58,-258,u,0.00349896942834889
59,60,u,7.71305494203892e-05
60,59,j,1.93070344041656e-05
59,76,u,0.00340075010860852
76,59,j,0.00034940426229673
59,-259,u,0.00348137647187379
60,61,u,0.000362784890596521
61,60,j,2.85251701461132e-05
60,77,u,0.00339961024827223
77,60,j,0.000277131043521543
60,-260,u,0.00347942686121749
62,61,u,0.000744730948527002
62,61,j,2.85242287459143e-05
61,78,u,0.00339424458141508
61,-261,u,0.00347093378698572
63,62,u,0.000542128021747452
63,62,j,2.16786999303026e-05
62,79,u,0.00340525477129591
79,62,j,0.000481617736047181
62,-262,u,0.0034874170103412
64,63,u,0.000926839404017923
63,64,j,0.000313254487336782
63,80,u,0.00341326651545964
80,63,j,0.000830958345793465
63,-263,u,0.00349939911256139
64,65,u,0.000183834763352209
65,64,j,0.000720022440043902
64,81,u,0.00342696364950919
81,64,j,0.00177851598638924
64,-264,u,0.00352368407280953
65,66,u,0.00125908687683137
66,65,j,4.21514371689171e-05
65,82,u,0.0034242468796074
82,65,j,0.000929568927779716
65,-265,u,0.00351169675364193
67,66,u,0.000198050051421913
