Source,Target,flow,value
1,10,u,0.137046424403517
1,30,u,0.0188192171792311
-1,1,u,0.155865641582748
2,3,u,0.00457514696365391
4,2,u,0.00719568307184781
5,2,u,0.00136906112938018
2,61,u,0.000237189861020726
2,62,u,0.00126955005322711
2,81,u,0.00248285732332691
3,62,u,0.000812035356861696
3,82,u,0.00376311160679226
4,5,u,0.00582662194246764
6,4,u,0.0140146566900711
4,59,u,3.55935075507574e-05
4,61,u,0.000956758168205463
59,5,u,0.000547068686696006
5,61,u,0.000374095973958744
5,80,u,0.00201077008956023
5,81,u,0.00261976343626493
7,6,u,0.0146360880327264
57,6,u,0.00160257745974843
6,58,u,0.000834713213601468
6,59,u,0.00143705917655788
60,6,u,4.7763587755334e-05
8,7,u,0.0047241635399391
9,7,u,0.0151516662216369
55,7,u,0.000157819521849012
57,7,u,0.000138968656475758
7,58,u,0.0022983220168741
7,79,u,0.00323820789030056
9,8,u,0.0104275026816978
11,8,u,0.00411811970038434
8,52,u,0.00166400692549482
54,8,u,0.000832731381108243
8,55,u,0.000314596832144876
8,78,u,0.00496496222131793
8,79,u,0.00371062424429445
10,9,u,0.034128437252463
9,11,u,0.00630938298131345
9,54,u,0.000210018887061558
9,55,u,0.00135734710031463
56,9,u,0.000703678585250955
9,57,u,0.00137619796568789
10,11,u,0.0404378202337764
10,17,u,0.0514125540311126
10,53,u,0.00473558513386085
10,54,u,0.00362286261230782
10,56,u,0.00270916513999535
11,12,u,0.0252740015812172
11,17,u,0.0109747337973362
11,50,u,0.00212935974566317
11,51,u,0.00190428579554038
11,52,u,0.0020758188955333
11,53,u,0.00069180311048318
54,11,u,0.000420919411069809
12,13,u,0.0153936436847966
12,48,u,0.000893871337882324
12,49,u,0.00204993782871443
51,12,u,0.000623114362581356
52,12,u,0.000451581262588441
12,76,u,0.00416442223037548
12,77,u,0.00384682212461867
13,14,u,0.00410828779115069
13,49,u,0.000510573460234776
13,74,u,0.00354438925157399
13,75,u,0.00460533531994187
13,76,u,0.00262505786189582
14,15,u,0.00334074070133195
16,14,u,0.00974707022560883
14,47,u,0.000232867038021745
48,14,u,0.00105632180971242
14,49,u,9.97446811197289e-05
14,72,u,0.00339568577001197
14,73,u,0.00470908116352797
14,74,u,0.00313356047245894
16,15,u,0.0130878109269408
15,18,u,0.00944098890167577
15,45,u,3.42128358925109e-05
47,15,u,0.00010120703211145
15,71,u,0.00399294522293752
15,72,u,0.00306161169987877
17,16,u,0.0240541290342194
16,45,u,0.00134299392858659
16,46,u,0.000123821217145315
16,47,u,0.00120757406058263
48,16,u,8.16147871514961e-05
50,16,u,0.00137352653749239
17,19,u,0.0383331587942296
19,18,u,0.00824977006860639
18,20,u,0.0102848794170065
18,44,u,0.00101791066788675
45,18,u,0.000909886054275066
18,70,u,0.0042490086068939
18,71,u,0.00304884633276994
19,20,u,0.0185346494856129
19,21,u,0.00997945315849202
19,41,u,0.000150672392896256
19,43,u,0.000964716820144052
19,44,u,0.00184288767474738
45,19,u,8.49090474144276e-05
46,19,u,0.00130408175885575
21,20,u,0.00855519632712087
20,22,u,0.0131111207101888
20,23,u,0.0154331902198683
20,40,u,0.000340258643428237
20,42,u,0.00151678287199002
43,20,u,0.000888748128417216
44,20,u,1.05772738138832e-05
20,68,u,0.00402643928645894
20,69,u,0.00384625890003494
21,37,u,0.00110897997388926
21,40,u,0.0011957782761403
41,21,u,0.000847272922952991
43,21,u,3.3228495705151e-05
22,24,u,0.00814540201760749
40,22,u,0.000970853427590646
22,42,u,0.000205670800971136
22,67,u,0.00301557410376105
22,68,u,0.00271532721544006
23,24,u,0.00582333250792799
23,26,u,0.0105559227640895
23,36,u,0.000310951130044268
37,23,u,0.00128985868080966
23,39,u,0.00126243902717298
40,23,u,0.00120306037855862
42,23,u,2.65361499968364e-05
24,25,u,0.00858473045688868
24,39,u,0.000680105776380202
42,24,u,0.000608869400789613
24,66,u,0.00311173379105618
24,67,u,0.0022010339020003
26,25,u,0.00385214020072722
25,28,u,0.00536062116024039
25,38,u,0.00107864686189103
39,25,u,0.000178367269308666
25,65,u,0.00392270915942583
25,66,u,0.00225326074536731
26,27,u,0.00577771607700006
36,26,u,0.000744641146364655
26,38,u,0.00146386088196375
26,39,u,0.000206846750764012
27,28,u,0.00343504528396754
27,29,u,0.000982170576502961
27,34,u,0.000474410942265813
27,38,u,0.000886089274263746
28,35,u,0.000768342687890344
28,38,u,0.00054258474586697
28,63,u,0.00362246445086161
28,64,u,0.00386227455958887
29,32,u,0.000605976691887689
29,34,u,0.000376193884615494
53,30,u,0.00588366648437334
53,30,j,0.0114582776091262
30,0,u,0.0247028836636044
30,0,j,0.0114582740255221
32,31,u,0.000475359974145667
31,32,j,2.54176668373931e-05
31,33,u,0.000475359974145659
33,31,j,2.54621348107512e-05
34,32,u,0.000159296134925318
34,32,j,1.33614312424932e-05
32,35,u,0.000289912852667261
32,35,j,3.89302222367051e-05
35,33,u,0.000660807095624065
33,35,j,8.98820675831461e-05
33,63,u,0.00113616706976971
63,33,j,0.000115233769025934
34,35,u,0.000449208987592579
34,35,j,5.22884346946664e-05
