Source,Target,flow,value
1,5,u,0.0325435389699619
1,6,u,0.0848665942935986
1,24,u,0.019335539739034
-1,1,u,0.136745673002594
2,3,u,0.00633356173490363
5,2,u,0.0118789744899205
2,47,u,0.000128216022466532
2,48,u,0.0010813324208955
2,49,u,0.000302485450793455
2,66,u,0.00403337886086139
4,3,u,0.00109110733997575
47,3,u,0.000505140151023831
3,65,u,0.00452978653853227
3,66,u,0.00340002268737103
5,4,u,0.0171214288848484
4,44,u,0.00358779581409263
4,45,u,0.000514879235249888
47,4,u,0.000396029417026256
4,64,u,0.00768477864002728
4,65,u,0.00463889727252984
5,45,u,0.00222702212373473
5,47,u,0.00131611347145859
6,7,u,0.030225590462581
6,14,u,0.0543174764722386
6,46,u,0.000323527358779074
7,8,u,0.027267474957125
7,42,u,0.00322883265460119
7,43,u,0.00154215177700916
44,7,u,0.00295492587604431
7,64,u,0.00114205694989038
8,9,u,0.0243592939663929
8,42,u,0.000502085158888699
8,63,u,0.0039907863776659
64,8,u,0.00158469054582211
9,10,u,0.0197216506116084
9,41,u,0.00113426551872773
42,9,u,0.0019338442377506
9,62,u,0.00388236509278093
9,63,u,0.0015548569810266
10,11,u,0.00971322982841716
10,39,u,0.000921522232692462
41,10,u,0.000837899542433096
10,60,u,0.00387447657243221
10,61,u,0.00414012148888037
10,62,u,0.0019102000316201
11,12,u,0.000842670651253097
11,37,u,0.00140837737807127
38,11,u,9.82206299408706e-05
39,11,u,4.98007501492204e-05
11,59,u,0.00470704958959285
11,60,u,0.00290315358959048
13,12,u,0.0105656753717032
12,36,u,0.000243720528241909
12,37,u,0.00132411031294595
38,12,u,0.000182487695066191
12,57,u,0.00496990217218865
12,58,u,0.00505310070464624
14,13,u,0.0472467586334357
13,15,u,0.033817378891747
13,35,u,0.000159791922085484
13,36,u,0.00130028806541223
40,13,u,0.00167138898601245
13,50,u,0.00307501336850069
14,35,u,0.00488446778542908
14,40,u,0.00305328687733115
43,14,u,0.000867036823956591
15,16,u,0.0157475691254191
15,18,u,0.0180787037838172
15,32,u,0.00163163619797184
15,34,u,0.0018881402723022
35,15,u,0.0032219459670892
50,15,u,0.00030672452067404
16,18,u,0.00233113465839807
16,32,u,5.68792854299449e-05
16,33,u,0.00118375144741307
16,34,u,0.0003133833597603
16,54,u,0.00434113630841186
16,55,u,0.00438127820529082
16,56,u,0.00314000586071574
18,17,u,0.0181481176585158
17,19,u,0.010015799582647
30,17,u,0.000327494783314908
17,31,u,0.00215376287049334
33,17,u,0.000864173784278322
17,53,u,0.00487701269624892
17,54,u,0.00229321107672051
18,30,u,0.00148731698253668
32,18,u,0.000176234180409862
18,33,u,0.000950637981573266
19,20,u,0.00966006358184801
19,27,u,0.000532627830150467
30,19,u,0.00132907474157964
19,31,u,0.00115218291222865
20,21,u,0.00551045357384949
20,23,u,0.00414961000799874
21,22,u,0.00172223033938446
21,29,u,0.000656894298031308
31,21,u,0.000364868803341123
21,52,u,0.00349619773977525
23,22,u,0.00308307390523521
28,22,u,4.48243847347207e-05
22,29,u,0.000484671264092862
22,51,u,0.00436545736526117
25,23,u,0.000166901768197691
23,26,u,0.000176976210556878
23,28,u,0.000263483005788778
23,29,u,0.000792978654616361
35,24,u,0.0065360573708634
35,24,j,0.0118416955142099
24,0,u,0.0258715971098974
24,0,j,0.0118416905983826
25,26,u,0.000126021498864692
26,25,j,8.54782735484279e-05
27,25,u,0.00029292326706245
25,27,j,8.54784188853066e-05
26,28,u,2.81130294557785e-05
28,26,j,2.84886430636004e-05
26,29,u,0.00027488467996577
29,26,j,5.69897537468941e-05
27,29,u,0.000693829445892913
29,27,j,0.000227963540024574
30,27,u,0.000666685145038892
27,30,j,0.000495943450091499
27,31,u,0.000212560262233974
31,27,j,0.000182502422711445
28,29,u,0.000246771650509992
29,28,j,2.84887257746627e-05
29,51,u,0.00181011433608187
51,29,j,0.000197761450081604
29,52,u,0.00133991565702738
52,29,j,0.000115680160273821
32,30,u,0.000615526094635643
30,32,j,0.000407269295098354
33,30,u,0.000220411592761294
30,33,j,8.86763811540333e-05
31,52,u,0.00182118484068632
52,31,j,0.000160991050537103
31,53,u,0.0013324524009287
53,31,j,2.15107264777555e-05
32,33,u,0.00039511450187435
33,32,j,0.000318523289118835
32,34,u,0.000501640706482287
32,34,j,0.000725786291588122
33,54,u,0.00144491855382116
54,33,j,0.000229847848326814
50,34,u,0.000126875722179043
34,50,j,0.00186887884652363
34,55,u,0.00164250504817578
55,34,j,0.000726380289496587
34,56,u,0.00118753501254807
56,34,j,0.000416687092787628
50,35,u,0.00471374363043793
50,35,j,0.0118416714795536
38,36,u,0.00126997222729401
38,36,j,0.00205015474473389
40,36,u,0.00303905227435788
40,36,j,0.0030213246107065
36,50,u,0.0030799247782743
36,50,j,0.00424541682275083
36,57,u,0.0027731083170315
36,57,j,0.000826275126925999
38,37,u,0.000844846819032386
38,37,j,0.000188085410247926
37,58,u,0.00214998230207066
37,58,j,0.000589054629237935
37,59,u,0.0014273522079792
59,37,j,0.000400984346464749
39,38,u,0.000626447324270218
39,38,j,0.00126228976041687
40,38,u,0.00176908004706386
40,38,j,0.000975920661247089
40,39,u,0.00114263272279365
39,40,j,0.000283148602535856
41,39,u,0.00121079848959842
41,39,j,0.000654990294376721
39,60,u,0.00141582234199931
60,39,j,9.12093772809628e-05
39,61,u,0.00118288302866616
61,39,j,0.000798998177424692
41,40,u,6.8165766804773e-05
41,40,j,0.000935972483758091
42,40,u,0.00159148518215895
42,40,j,0.000927849285644554
43,40,u,0.00290921620393256
43,40,j,0.00185082148451671
42,41,u,0.00152331941535417
41,42,j,5.28595976958808e-06
41,62,u,0.000540721135245348
62,41,j,0.00159618720733812
43,42,u,0.00131773102177362
43,42,j,0.000922475758132593
46,43,u,0.00355183227265377
46,43,j,0.00277318378745012
45,44,u,0.00147577677592148
44,45,j,0.000113360209908411
44,46,u,0.00087626406897674
44,46,j,0.00144550263881549
44,64,u,0.00123238264499281
64,44,j,0.00155885910181183
45,46,u,0.00235204084489822
45,46,j,0.00132770526624545
47,45,u,0.0010859162618351
47,45,j,0.00121434022630858
49,47,u,0.000542756335960237
49,47,j,0.00121434132097404
48,49,u,0.000240270885166716
48,49,j,0.00121434110506178
48,66,u,0.000841061535728826
66,48,j,0.00121434104313135
50,56,u,0.00131441073472711
56,50,j,0.00228987431232393
57,50,u,0.000306816461242798
57,50,j,0.00343760833621438
52,51,u,0.00047019867905449
51,52,j,8.21971755649697e-05
51,67,u,0.0032706158057862
67,51,j,0.00027995881724949
51,-251,u,0.00337515457461133
53,52,u,0.000488732439757622
52,53,j,0.000139835187037893
52,68,u,0.00328505518368984
68,52,j,0.000334308853252071
52,-252,u,0.00339077681450224
54,53,u,0.000987190847141695
53,54,j,0.000561757319654601
53,69,u,0.00330007943929906
69,53,j,0.000443435138353256
